format,slot,slot_group,count
oc,C,hitter,2
oc,1B,hitter,1
oc,2B,hitter,1
oc,3B,hitter,1
oc,SS,hitter,1
oc,MI,hitter,1
oc,CI,hitter,1
oc,OF,hitter,5
oc,UTIL,hitter,1
oc,P,pitcher,9
oc,BENCH,bench,7
me,C,hitter,2
me,1B,hitter,1
me,2B,hitter,1
me,3B,hitter,1
me,SS,hitter,1
me,MI,hitter,1
me,CI,hitter,1
me,OF,hitter,5
me,UTIL,hitter,1
me,P,pitcher,9
me,BENCH,bench,7
50s,C,hitter,2
50s,1B,hitter,1
50s,2B,hitter,1
50s,3B,hitter,1
50s,SS,hitter,1
50s,MI,hitter,1
50s,CI,hitter,1
50s,OF,hitter,5
50s,UTIL,hitter,1
50s,P,pitcher,9
50s,BENCH,bench,27
